Case_ID,Product,Folder,Language,Ground_Truth,GT_Support_Status,Strongest_Mechanism,Multiple_Defects_Coexist,Match_Rate_Pct,Mis_Col_Anchor_Break_px,Mis_Residual_Disp_px,Mis_Col_dx_Std,Mis_Direction_Coherence,Mis_Has_Evidence,Ov_Max_Intersection_Area_px2,Ov_Total_Intersection_Area_px2,Ov_Horizontal_Intrusion_px,Ov_Vertical_Intrusion_px,Ov_Gap_Collapse_px,Ov_Has_Evidence,Tr_Verified_Ellipsis_Count,Tr_Max_Overflow_px,Tr_Clipping_Elements_Count,Tr_Container_Accommodated,Tr_Has_Evidence,Un_Genuine_Untrans_Strings,Un_Latin_Words_Preserved,Un_English_Chars_Preserved,Un_Tech_Brand_Tokens,Un_Has_Evidence,HK_Conflict_Count,HK_Has_Evidence
9,Civil3d,Civil3d-01,RUS,Misalignment,DIRECTLY_SUPPORTED,STRUCTURAL_COLUMN_DRIFT,True,100.0,486.0,393.53,189.79,0.113,True,1600,1600,100,16,288,True,0,396,7,0,True,1,2,12,0,True,0,False
10,Civil3d,Civil3d-12,FRA,Misalignment,DIRECTLY_SUPPORTED,STRUCTURAL_COLUMN_DRIFT,True,100.0,97.0,103.0,51.0,0.038,True,0,0,0,0,105,False,1,0,0,3,True,10,18,158,1,True,0,False
11,Civil3d,Civil3d-13,ESP,Misalignment,UNSUPPORTED,TEXT_TRUNCATION_CLIPPING,True,100.0,0.0,2.24,0.43,0.2,False,0,0,0,0,131,False,0,120,2,0,True,5,10,55,0,True,0,False
12,Civil3d,Civil3d-14,CHT,Misalignment,PARTIALLY_SUPPORTED,BOUNDARY_COLLISION_OVERLAP,True,100.0,187.0,93.61,93.5,0.254,False,14465,28738,263,55,200,True,1,0,0,0,True,2,6,41,2,True,0,False
13,Civil3d,Civil3d-16,KOR,Misalignment,DIRECTLY_SUPPORTED,STRUCTURAL_COLUMN_DRIFT,True,93.2,95.0,92.0,41.2,0.008,True,3791,8311,223,19,140,True,0,0,0,0,False,2,2,16,0,True,0,False
14,Civil3d,Civil3d-23,FRA,Misalignment,DIRECTLY_SUPPORTED,STRUCTURAL_COLUMN_DRIFT,True,96.8,165.0,165.01,77.78,0.183,True,540,1664,90,14,144,True,7,0,0,0,True,8,10,180,7,True,0,False
15,Inventor,Inventor-01,JPN,Misalignment,DIRECTLY_SUPPORTED,STRUCTURAL_COLUMN_DRIFT,True,100.0,260.0,260.85,134.5,0.234,True,1957,5135,103,19,227,True,2,0,0,0,True,0,0,0,0,False,0,False
16,Inventor,Inventor-12,FRA,Misalignment,DIRECTLY_SUPPORTED,STRUCTURAL_COLUMN_DRIFT,True,97.8,44.0,129.81,129.5,0.266,True,1888,5392,118,16,256,True,2,0,0,6,True,8,11,144,0,True,0,False
17,Inventor,Inventor-17,CSY,Misalignment,DIRECTLY_SUPPORTED,STRUCTURAL_COLUMN_DRIFT,True,100.0,97.0,132.85,48.53,0.036,True,2550,3350,102,25,80,True,4,0,0,1,True,0,0,0,1,False,0,False
18,Inventor,Inventor-25,ESP,Misalignment,DIRECTLY_SUPPORTED,STRUCTURAL_COLUMN_DRIFT,True,100.0,60.0,117.1,32.0,0.641,True,2895,5335,193,15,142,True,9,0,0,0,True,9,10,136,2,True,0,False
19,Inventor,Inventor-27,JPN,Misalignment,PARTIALLY_SUPPORTED,BOUNDARY_COLLISION_OVERLAP,True,100.0,8.0,16.28,8.0,0.067,False,972,2754,54,18,80,True,1,0,0,0,True,1,3,18,2,True,0,False
20,Inventor,Inventor-31,DEU,Misalignment,DIRECTLY_SUPPORTED,STRUCTURAL_COLUMN_DRIFT,True,100.0,115.0,60.5,60.5,-0.037,True,868,1056,64,14,140,True,0,0,0,0,False,2,2,30,0,True,0,False
21,Inventor,Inventor-37,RUS,Misalignment,DIRECTLY_SUPPORTED,STRUCTURAL_COLUMN_DRIFT,False,93.3,184.0,184.01,58.16,0.374,True,0,0,0,0,130,False,0,0,0,0,False,0,0,0,1,False,0,False
22,Vault,Vault-28,HUN,Misalignment,PARTIALLY_SUPPORTED,BOUNDARY_COLLISION_OVERLAP,True,100.0,62.0,220.0,220.0,-0.546,False,14,14,1,14,128,True,5,0,0,0,True,1,1,16,1,False,0,False
23,Vault,Vault-32,PLK,Misalignment,PARTIALLY_SUPPORTED,UNTRANSLATED_USER_FACING_TEXT,False,100.0,49.0,49.37,23.1,0.434,False,0,0,0,0,56,False,0,0,0,0,False,1,5,47,0,True,0,False
24,Vault,Vault-35,ESP,Misalignment,PARTIALLY_SUPPORTED,TEXT_TRUNCATION_CLIPPING,False,100.0,64.0,118.0,42.75,-0.334,False,0,0,0,0,76,False,1,0,0,0,True,0,0,0,0,False,0,False
25,Vault,Vault-36,CHT,Misalignment,UNSUPPORTED,BOUNDARY_COLLISION_OVERLAP,True,100.0,0.0,3.0,0.0,0.268,False,672,1284,42,18,167,True,1,0,0,0,True,0,0,0,0,False,0,False
26,Vault,Vault-37,CSY,Misalignment,PARTIALLY_SUPPORTED,BOUNDARY_COLLISION_OVERLAP,True,100.0,18.0,25.5,25.5,-0.218,False,42,42,3,14,138,True,1,0,0,0,True,0,0,0,0,False,0,False
27,Vault,Vault-40,HUN,Misalignment,DIRECTLY_SUPPORTED,STRUCTURAL_COLUMN_DRIFT,True,100.0,227.0,208.02,93.82,0.129,True,128,147,64,19,76,True,1,0,0,0,True,2,2,121,0,True,0,False
29,Civil3d,Civil3d-06,RUS,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,96.2,464.0,438.26,160.57,0.013,True,1908,15573,465,23,246,True,0,0,0,0,False,0,0,0,0,False,0,False
30,Civil3d,Civil3d-18,CSY,Overlapping,PARTIALLY_SUPPORTED,NO_STRONG_OBSERVABLE_DEFECT,False,91.3,0.0,44.68,44.5,0.364,False,0,0,0,0,103,False,0,0,0,0,False,1,1,4,0,False,0,False
31,Civil3d,Civil3d-28,PTB,Overlapping,PARTIALLY_SUPPORTED,STRUCTURAL_MISALIGNMENT,True,100.0,84.0,88.01,32.58,0.259,True,0,0,0,0,92,False,1,0,0,0,True,3,9,73,0,True,0,False
32,Civil3d,Civil3d-29,FRA,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,93.0,52.0,52.04,43.0,0.132,False,1898,3784,146,13,136,True,0,0,0,0,False,3,3,73,2,True,0,False
33,Civil3d,Civil3d-30,CHT,Overlapping,DIRECTLY_SUPPORTED,GEOMETRIC_BOUNDARY_COLLISION,True,100.0,233.0,232.36,91.38,0.208,True,1404,5252,78,18,225,True,0,0,0,0,False,0,0,0,0,False,0,False
