Case_ID,Product,Folder,Language,Ground_Truth_Category,Primary_Category,Secondary_Categories,Abstained,Primary_Evidence_Strength,Dominant_Mechanism,Ranked_Categories,Top1_Prediction,Top2_Predictions,Top1_Correct,Top2_Correct,Mis_Status,Mis_Strength,Mis_Col_Anchor_Break_px,Mis_Residual_Disp_px,Mis_Direction_Coherence,Ov_Status,Ov_Strength,Ov_Total_Intersection_Area_px2,Ov_Max_Horizontal_Intrusion_px,Ov_Max_Vertical_Intrusion_px,Tr_Status,Tr_Strength,Tr_Verified_Ellipsis_Count,Tr_Max_Overflow_px,Tr_Container_Accommodated_Count,Un_Status,Un_Strength,Un_Genuine_Untrans_Strings,Un_Total_Latin_Words,Un_Tech_Brand_Tokens,HK_Status,HK_Strength,GT_is_Primary,GT_is_Secondary,GT_Evidence_Present,GT_Evidence_Strength,GT_Evidence_Absent,GT_Visually_Unsupported,Error_Bucket,Failure_Domain,Why_Another_Won,Competing_Evidence_Nature,Causal_Explanation
9,Civil3d,Civil3d-01,RUS,Misalignment,Misalignment,Overlapping;Truncation;Untranslation,False,1.0,"Structural Column Grid Break (486.0px anchor break, 393.5px residual drift)",Misalignment;Truncation;Overlapping;Untranslation;Repeated hotkey,Misalignment,Misalignment;Overlapping,True,True,STRONG_EVIDENCE,1.0,486.0,393.53,0.113,STRONG_EVIDENCE,0.692,1600,100,16,STRONG_EVIDENCE,1.0,0,396,0,STRONG_EVIDENCE,0.2,1,2,0,VISUALLY_UNSUPPORTED,-1.0,True,False,True,1.0,False,False,CORRECT_PRIMARY,,,,"Primary diagnosis is Misalignment (strength: 1.000) driven by Structural Column Grid Break (486.0px anchor break, 393.5px residual drift). Causal Precedence: Causal Rule 2: Structural column grid break outranks downstream viewport edge clipping. Causal Rule 3: Positive inter-sibling intrusion outranks internal boundary clipping. Coexisting secondary defect mechanisms preserved: Overlapping (strength: 0.720), Truncation (strength: 0.450), Untranslation (strength: 0.292). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
10,Civil3d,Civil3d-12,FRA,Misalignment,Untranslation,Truncation;Misalignment,False,1.0,"Preserved User-Facing English Lexicon (10 untranslated strings, 18 Latin words)",Untranslation;Misalignment;Truncation;Overlapping;Repeated hotkey,Untranslation,Untranslation;Truncation,False,True,STRONG_EVIDENCE,0.756,97.0,103.0,0.038,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.6,1,0,3,STRONG_EVIDENCE,1.0,10,18,1,VISUALLY_UNSUPPORTED,-1.0,False,True,True,0.756,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Untranslation generated higher continuous specificity (1.0) than Misalignment (0.756).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Untranslation (strength: 1.000) driven by Preserved User-Facing English Lexicon (10 untranslated strings, 18 Latin words). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 0.650), Misalignment (strength: 0.640). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
11,Civil3d,Civil3d-13,ESP,Misalignment,Truncation,Untranslation,False,1.0,"Text Boundary Clipping / Localized Ellipsis (0 verified ellipsis, 120px overflow)",Truncation;Untranslation;Misalignment;Overlapping;Repeated hotkey,Truncation,Truncation;Untranslation,False,False,WEAK_EVIDENCE,0.019,0.0,2.24,0.2,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,1.0,0,120,0,STRONG_EVIDENCE,1.0,5,10,0,VISUALLY_UNSUPPORTED,-1.0,False,False,True,0.019,False,False,OTHER,EXTRACTION_PROBLEM (Element matching or boundary fit failed to capture GT),Ground Truth Misalignment was completely absent from detected physical streams; Truncation was the only active signal.,Independent visual defect or false positive,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (0 verified ellipsis, 120px overflow). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Untranslation (strength: 1.000). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
12,Civil3d,Civil3d-14,CHT,Misalignment,Misalignment,Truncation;Untranslation;Overlapping,False,1.0,"Structural Column Grid Break (187.0px anchor break, 93.6px residual drift)",Overlapping;Misalignment;Truncation;Untranslation;Repeated hotkey,Misalignment,Misalignment;Truncation,True,True,MODERATE_EVIDENCE,0.987,187.0,93.61,0.254,STRONG_EVIDENCE,1.0,28738,263,55,STRONG_EVIDENCE,0.6,1,0,0,STRONG_EVIDENCE,0.5,2,6,2,VISUALLY_UNSUPPORTED,-1.0,True,False,True,0.987,False,False,CORRECT_PRIMARY,,,,"Primary diagnosis is Misalignment (strength: 1.000) driven by Structural Column Grid Break (187.0px anchor break, 93.6px residual drift). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 0.900), Untranslation (strength: 0.708), Overlapping (strength: 0.700). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
13,Civil3d,Civil3d-16,KOR,Misalignment,Misalignment,Overlapping;Untranslation,False,1.0,"Structural Column Grid Break (95.0px anchor break, 92.0px residual drift)",Overlapping;Misalignment;Untranslation;Truncation;Repeated hotkey,Misalignment,Misalignment;Overlapping,True,True,STRONG_EVIDENCE,0.687,95.0,92.0,0.008,STRONG_EVIDENCE,1.0,8311,223,19,MODERATE_EVIDENCE,0.0,0,0,0,STRONG_EVIDENCE,0.3,2,2,0,VISUALLY_UNSUPPORTED,-1.0,True,False,True,0.687,False,False,CORRECT_PRIMARY,,,,"Primary diagnosis is Misalignment (strength: 1.000) driven by Structural Column Grid Break (95.0px anchor break, 92.0px residual drift). Causal Precedence: Causal Rule 2: Structural column grid break outranks downstream viewport edge clipping. Causal Rule 3: Positive inter-sibling intrusion outranks internal boundary clipping. Coexisting secondary defect mechanisms preserved: Overlapping (strength: 1.000), Untranslation (strength: 0.458). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
14,Civil3d,Civil3d-23,FRA,Misalignment,Truncation,Untranslation;Misalignment,False,1.0,"Text Boundary Clipping / Localized Ellipsis (7 verified ellipsis, 0px overflow)",Misalignment;Truncation;Untranslation;Overlapping;Repeated hotkey,Truncation,Truncation;Untranslation,False,True,STRONG_EVIDENCE,1.0,165.0,165.01,0.183,STRONG_EVIDENCE,0.65,1664,90,14,STRONG_EVIDENCE,1.0,7,0,0,STRONG_EVIDENCE,1.0,8,10,7,VISUALLY_UNSUPPORTED,-1.0,False,True,True,1.0,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Truncation generated higher continuous specificity (1.0) than Misalignment (1.0).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (7 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 1: Untranslated English text outranks downstream layout reflow/contact. Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Untranslation (strength: 1.000), Misalignment (strength: 0.700). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
15,Inventor,Inventor-01,JPN,Misalignment,Misalignment,Truncation;Overlapping,False,1.0,"Structural Column Grid Break (260.0px anchor break, 260.9px residual drift)",Misalignment;Overlapping;Truncation;Untranslation;Repeated hotkey,Misalignment,Misalignment;Truncation,True,True,STRONG_EVIDENCE,1.0,260.0,260.85,0.234,STRONG_EVIDENCE,1.0,5135,103,19,STRONG_EVIDENCE,1.0,2,0,0,NO_EVIDENCE,0.0,0,0,0,VISUALLY_UNSUPPORTED,-1.0,True,False,True,1.0,False,False,CORRECT_PRIMARY,,,,"Primary diagnosis is Misalignment (strength: 1.000) driven by Structural Column Grid Break (260.0px anchor break, 260.9px residual drift). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Truncation (strength: 1.000), Overlapping (strength: 0.700). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
16,Inventor,Inventor-12,FRA,Misalignment,Truncation,Untranslation;Overlapping;Misalignment,False,1.0,"Text Boundary Clipping / Localized Ellipsis (2 verified ellipsis, 0px overflow)",Overlapping;Truncation;Untranslation;Misalignment;Repeated hotkey,Truncation,Truncation;Untranslation,False,True,STRONG_EVIDENCE,0.519,44.0,129.81,0.266,STRONG_EVIDENCE,1.0,5392,118,16,STRONG_EVIDENCE,1.0,2,0,6,STRONG_EVIDENCE,1.0,8,11,0,VISUALLY_UNSUPPORTED,-1.0,False,True,True,0.519,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Truncation generated higher continuous specificity (1.0) than Misalignment (0.519).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (2 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Untranslation (strength: 1.000), Overlapping (strength: 0.700), Misalignment (strength: 0.685). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
17,Inventor,Inventor-17,CSY,Misalignment,Truncation,Misalignment;Overlapping,False,1.0,"Text Boundary Clipping / Localized Ellipsis (4 verified ellipsis, 0px overflow)",Truncation;Overlapping;Misalignment;Untranslation;Repeated hotkey,Truncation,Truncation;Misalignment,False,True,STRONG_EVIDENCE,0.786,97.0,132.85,0.036,STRONG_EVIDENCE,0.912,3350,102,25,STRONG_EVIDENCE,1.0,4,0,1,WEAK_EVIDENCE,0.0,0,0,1,VISUALLY_UNSUPPORTED,-1.0,False,True,True,0.786,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Truncation generated higher continuous specificity (1.0) than Misalignment (0.786).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (4 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Misalignment (strength: 1.000), Overlapping (strength: 0.700). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
18,Inventor,Inventor-25,ESP,Misalignment,Truncation,Untranslation;Overlapping;Misalignment,False,1.0,"Text Boundary Clipping / Localized Ellipsis (9 verified ellipsis, 0px overflow)",Overlapping;Truncation;Untranslation;Misalignment;Repeated hotkey,Truncation,Truncation;Untranslation,False,True,STRONG_EVIDENCE,0.534,60.0,117.1,0.641,STRONG_EVIDENCE,1.0,5335,193,15,STRONG_EVIDENCE,1.0,9,0,0,STRONG_EVIDENCE,1.0,9,10,2,VISUALLY_UNSUPPORTED,-1.0,False,True,True,0.534,False,False,WRONG_PRIMARY_GT_IN_SECONDARY,ARBITRATION_PROBLEM (Multi-defect precedence ranking),Truncation generated higher continuous specificity (1.0) than Misalignment (0.534).,Downstream consequence or compound coexisting defect,"Primary diagnosis is Truncation (strength: 1.000) driven by Text Boundary Clipping / Localized Ellipsis (9 verified ellipsis, 0px overflow). Causal Precedence: Causal Rule 3: Verified localized ellipsis / rigid container overflow outranks incidental contact. Coexisting secondary defect mechanisms preserved: Untranslation (strength: 1.000), Overlapping (strength: 0.700), Misalignment (strength: 0.531). Repeated hotkey remains VISUALLY_UNSUPPORTED via plain OCR."
